,detector,mode,window_small,window_large,standard,fn,fp,sides
0,ratio,individual,5,60,35.78,49.92,35.78,1
1,ratio,individual,5,120,42.54,57.01,38.39,1
2,ratio,individual,5,180,43.43,56.83,40.18,1
3,ratio,individual,5,240,43.88,56.84,41.96,1
4,ratio,individual,5,300,43.85,57.11,41.34,1
5,ratio,individual,5,360,44.56,57.58,42.11,1
6,ratio,individual,5,420,44.86,58.16,42.66,1
7,ratio,individual,5,480,43.94,58.3,42.22,1
8,ratio,individual,5,540,44.27,58.82,42.06,1
9,ratio,individual,5,600,45.45,59.61,42.76,1
10,ratio,individual,5,660,45.46,60.0,41.97,1
11,ratio,individual,5,720,46.03,60.86,42.01,1
12,ratio,individual,5,780,46.16,60.37,41.44,1
13,ratio,individual,5,840,45.73,59.96,40.98,1
14,ratio,individual,5,900,45.83,60.34,41.97,1
15,ratio,individual,5,960,46.32,60.68,41.87,1
16,ratio,individual,5,1020,46.54,60.91,41.63,1
17,ratio,individual,5,1080,46.7,61.11,40.73,1
18,ratio,individual,5,1140,47.16,61.61,41.06,1
19,ratio,individual,5,1200,46.78,61.07,40.89,1
20,ratio,individual,5,1260,46.87,61.15,40.85,1
21,ratio,individual,5,1320,46.76,61.63,41.08,1
22,ratio,individual,5,1380,46.74,61.49,41.3,1
23,ratio,individual,5,1440,46.64,61.57,40.95,1
24,ratio,individual,5,1500,46.53,61.7,41.14,1
25,ratio,individual,5,1560,46.75,61.91,40.95,1
26,ratio,individual,5,1620,46.75,61.91,40.66,1
27,ratio,individual,5,1680,46.23,61.44,40.76,1
28,ratio,individual,5,1740,46.23,61.28,40.76,1
29,ratio,individual,5,1800,45.99,61.12,41.0,1
30,ratio,individual,5,1860,46.18,61.25,41.05,1
31,ratio,individual,5,1920,46.12,61.32,41.15,1
32,ratio,individual,5,1980,46.43,61.7,41.75,1
33,ratio,individual,5,2040,46.9,62.02,42.38,1
34,ratio,individual,5,2100,47.02,62.09,42.37,1
35,ratio,individual,5,2160,46.97,62.06,42.23,1
36,ratio,individual,5,2220,47.18,62.2,42.32,1
37,ratio,individual,5,2280,47.66,62.52,42.8,1
38,ratio,individual,5,2340,47.67,62.53,43.18,1
39,ratio,individual,5,2400,47.88,62.67,42.89,1
40,ratio,individual,5,2460,48.07,62.79,42.41,1
41,ratio,individual,5,2520,47.59,62.44,42.22,1
42,ratio,individual,5,2580,47.78,62.5,42.24,1
43,ratio,individual,5,2640,47.82,62.63,42.43,1
44,ratio,individual,5,2700,47.91,62.69,42.34,1
45,ratio,individual,5,2760,48.34,62.97,42.43,1
46,ratio,individual,5,2820,48.67,63.2,42.24,1
47,ratio,individual,5,2880,48.63,63.16,42.51,1
48,ratio,individual,5,2940,48.03,62.77,42.89,1
49,ratio,individual,5,3000,48.16,62.61,43.27,1
50,ratio,individual,5,3060,48.45,62.76,43.69,1
51,ratio,individual,5,3120,48.64,62.88,43.88,1
52,ratio,individual,5,3180,48.8,62.99,44.17,1
53,ratio,individual,5,3240,48.94,63.09,43.82,1
54,ratio,individual,5,3300,48.52,62.55,43.63,1
55,ratio,individual,5,3360,48.52,62.52,43.92,1
56,ratio,individual,5,3420,48.66,62.61,43.92,1
57,ratio,individual,5,3480,48.8,62.71,44.01,1
58,ratio,individual,5,3540,48.9,62.77,44.02,1
59,ratio,individual,5,3600,48.95,62.8,44.12,1
60,ratio,individual,5,3660,48.99,62.84,44.21,1
61,ratio,individual,5,3720,48.99,62.84,44.21,1
62,ratio,individual,5,3780,48.85,62.74,43.93,1
63,ratio,individual,5,3840,48.52,62.56,43.75,1
64,ratio,individual,5,3900,48.56,62.55,43.75,1
65,ratio,individual,5,3960,48.28,62.56,43.84,1
66,ratio,individual,5,4020,48.28,62.53,43.84,1
67,ratio,individual,5,4080,48.47,62.63,43.46,1
68,ratio,individual,5,4140,48.34,62.69,43.16,1
69,ratio,individual,5,4200,48.15,62.72,43.33,1
70,ratio,individual,5,4260,48.17,62.78,43.52,1
71,ratio,individual,5,4320,48.4,62.85,43.52,1
72,ratio,individual,5,4380,48.59,62.97,43.52,1
73,ratio,individual,5,4440,48.59,63.0,43.52,1
74,ratio,individual,5,4500,48.69,63.07,43.33,1
75,ratio,individual,5,4560,48.5,63.04,43.43,1
76,ratio,individual,5,4620,48.34,62.97,43.43,1
77,ratio,individual,5,4680,48.45,63.0,43.62,1
78,ratio,individual,5,4740,48.45,62.94,43.52,1
79,ratio,individual,5,4800,48.45,63.0,43.51,1
80,ratio,individual,5,4860,48.62,63.1,43.7,1
81,ratio,individual,5,4920,48.72,63.26,43.79,1
82,ratio,individual,5,4980,48.81,63.45,43.93,1
83,ratio,individual,5,5040,48.81,63.44,43.93,1
84,ratio,individual,5,5100,48.91,63.48,44.12,1
85,ratio,individual,5,5160,48.95,63.48,44.21,1
86,ratio,individual,5,5220,49.0,63.51,44.31,1
87,ratio,individual,5,5280,49.29,63.6,44.88,1
88,ratio,individual,5,5340,49.38,63.57,45.07,1
89,ratio,individual,5,5400,49.38,63.63,45.07,1
